number	number	number	string	number	string	string	number	array	string	number	array	string	number	array	string	string	number	number
404	4	4	love_image4	2800	指定された場所はここだな？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	愛している/n私も/n見えない言葉が/n私だけに見える魔法	400441	4
501	5	1	love_image1	150	神社にお参りをしませんか？	エピソード1	3	"[10028,1]"	ヘッドバンドを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	姻縁の樹さん/n私の愛情はどこ？/nお助け下さい/nいつか彼に出会えますように	400511	1
502	5	2	love_image2	450	あそこの教会を見てください。\n結婚式をしているようですよ。	エピソード2	3	"[10015,1]"	ハマナスを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	きれいなウエディングドレスを身にまとい/n愛する人と教会に行く/nすべての女の子の夢/n私の夢を実現させてくれるかしら？	400521	2
503	5	3	love_image3	1125	皆さんでキャンプなんて、\nとっても楽しみですね。	エピソード3	3	"[10043,1]"	果物を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	不器用に家事をこなすあなたを見ている/n不思議なことに心が安らぐ/nこの時間が本当に/nこの瞬間が永遠に続けばいいのに	400531	3
504	5	4	love_image4	2800	それではお言葉に甘えまして、\n今日はお邪魔しますね。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	桃の花が咲きほこる/n美しい花嫁さん/n彼女はお嫁に行く/n夫婦は仲睦まじく	400541	4
601	6	1	love_image1	450	大雪なんて珍しいですね、\nせっかくなので雪遊びしますか？	エピソード1	3	"[10030,1]"	手袋を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	きれいな雪/n雪合戦、雪だるま、ほんとに楽しい！/nあなたがいると/n私はいつもこんなに楽しい	400611	1
602	6	2	love_image2	1350	野外生存訓練、\n同じチームになりましたね！	エピソード2	3	"[10031,1]"	てるてる坊主を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	どんな危険があったとしても/n怖くはない、なぜならあなたが…/nきっと見つけてくれるから/n私の前に立ちはだかってくれるから	400621	2
603	6	3	love_image3	3375	わわわっ！ 危な～い！	エピソード3	3	"[10014,1]"	チョコレートを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	あなたの勇気が私を守る/n私の思いやりは止まらない/n二人は小さな手と大きな手をつなぎ/nさあ今日も頑張ろう！	400631	3
604	6	4	love_image4	8450	見せたいものって何ですか？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	拳法も得意なの！/nこのフルーツ全部あげる～/nしっかりトレーニングして/n次は私があなたを守るわ！	400641	4
701	7	1	love_image1	150	動物園に行かないか？	エピソード1	3	"[10063,1]"	キャットフードを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	トラとライオンが大好きな私/nみんな驚かしちゃった/nありがとう/n逃げ出さないでくれて	400711	1
702	7	2	love_image2	450	テニスの練習をしないといけなく\nなった、付き合ってくれないか？	エピソード2	3	"[10032,1]"	テニスボールを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	テニスの腕、まあまあでしょ～/n一生懸命練習した結果よ/n認めない？/nよし、こい！	400721	2
703	7	3	love_image3	1125	今年もこの日が来たか…。	エピソード3	3	"[10031,1]"	てるてる坊主を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	あなたのあいさつ/n関心/n一言一言/全部私の中に深く残っている	400731	3
704	7	4	love_image4	2800	一緒にしたいことがある？\nいいだろう。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	抱き合いながら飛び降りる/n落下スピードは驚くほど速い/nすぐそばにあるドキドキを感じながら/nもう私は一人じゃないと知る	400741	4
801	8	1	love_image1	300	人間の匂い…？	エピソード1	3	"[10033,1]"	焼肉を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	いいにおいの焼肉/n人を誘惑する香りを振りまいている/nアタシは焼肉では騙されないわ！/nでもほんとにおいしいわ……	400811	1
802	8	2	love_image2	900	普通の人間の暮らしに興味がある。	エピソード2	3	"[10034,1]"	鏡を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	アタシたちの世界は遠すぎる/n近づきたい/nあなたを知りたい/nあなたの世界に入り込みたい	400821	2
803	8	3	love_image3	2250	やはり人間は信用ならん…！	エピソード3	3	"[10031,1]"	てるてる坊主を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	たとえ誰が何と言おうと/nあなたがアタシを選びさえすれば/nアタシはあなたを信じる/nどんな時も	400831	3
804	8	4	love_image4	5600	貴様、どこに連れて行く気だ？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	アタシに天地をください/nあなたに世界をお返しします/nアタシに本当の気持ちをください/nあなたに一生のまごころをお返しします	400841	4
901	9	1	love_image1	150	世界のチョコフェア！\n行くしかないじゃない！	エピソード1	3	"[10077,1]"	割引券を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	チョコとあなた/nどっちのほうが大切？/nチョコ、あなた、チョコ、あなた……/nやっぱりチョコね	400911	1
902	9	2	love_image2	450	アタシにかかればスキーだって、\nちょちょいのちょいよ！	エピソード2	3	"[10036,1]"	スキー板を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	見渡す限りの雪山/n風のように飛び回る少年/n歓声や笑い声は絶えず/n羽ばたく青春を記録する	400921	2
903	9	3	love_image3	1125	みんなでキャンプ！ 楽しみね！	エピソード3	3	"[10037,1]"	登山靴を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	芝生に並んで寝転んで/nゆっくり目を閉じる/n静かに風の声を聴く/n心安らぐあたたかい息吹を	400931	3
904	9	4	love_image4	2800	んー！ さあ今日もアイツをこき\n使って買占めに行きますか！	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	約束しましょう/nチョコを贈ってちょうだい/n記念日にはチョコは絶対よ/nアタシからチョコを奪わないで！	400941	4
1001	10	1	love_image1	450	たまにはお茶でもご馳走するわよ？	エピソード1	3	"[10038,1]"	カップを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	私は冷血な戦争ロボット/nでも普通の人間でもある/nご飯を食べて眠って/n喜怒哀楽だってあるわ	401011	1
1002	10	2	love_image2	1350	私とデートだなんて気でも狂ったの？	エピソード2	3	"[10039,1]"	ホタルを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	私は見たの/n最も美しい蛍と星空を/nつまらないデートまで付いて/nずっと忘れられない思い出になる	401021	2
1003	10	3	love_image3	3375	何か言いたそうな顔ね。	エピソード3	3	"[10023,1]"	蛤刃を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	地獄の中の天使/n幻想的な光の影をまとい/n安心と希望をもたらす/nやっと……あなたに会えた	401031	3
1004	10	4	love_image4	8450	敵がそっちに行ったわよ。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	全世界を忘れられる/nあなた以外の/n全世界を放棄できる/nあなたがそばに居てくれるなら	401041	4
1101	11	1	love_image1	150	お、今度は武器展なのね、\nこれは行くしかない！	エピソード1	3	"[10040,1]"	チケットを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	素敵な夢の世界/n幸せな出会い/n大きな声であなたに伝えたい/n大好き	401111	1
1102	11	2	love_image2	450	舞台って面白いの？\n私あんまり見たことないや。	エピソード2	3	"[10016,1]"	入場券を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	出会いと別れ/nいつの時も/n永遠なんてないの/n今をしっかりと大事にする	401121	2
1103	11	3	love_image3	1125	遊園地に遊びに行こうよ！\n最近リニューアルされたらしいよ！	エピソード3	3	"[10041,1]"	カメラを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	微笑むあなたを見て/n私はただのおバカさんみたい/nあなたがいるから/n私は毎日すごく幸せ	401131	3
1104	11	4	love_image4	2800	話題のスポットがあるらしいよ？\n写真とりにいこうよ！	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	数え切れないほどの写真/n壁一面を埋め尽くす/n一緒にいたすべての瞬間/nどれも私の最高の思い出	401141	4
1201	12	1	love_image1	450	浴衣か、そうか、なら着るしかないな。	エピソード1	3	"[10074,1]"	浴衣を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	淑女なんて/n結局私の風格じゃない/nこれこそが真実の私/n受け入れられるかしら？	401211	1
1202	12	2	love_image2	1350	故郷の話？\nそんなものに興味があるのか、変わってるな。	エピソード2	3	"[10073,1]"	照明を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	暖かい明り/n心の迷いを取り除く/nこれからの一日一日/n私が家で待っている	401221	2
1203	12	3	love_image3	3375	海なんて久しぶりだ、さあ泳ぐぞ！	エピソード3	3	"[10044,1]"	浮き輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	冷たい海水が口に流れ込む/n意識がだんだん遠のく/n次に目を開けた時/n恋しい顔を見た	401231	3
1204	12	4	love_image4	8450	まったく、こんな時間に誰だ…。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	記念日を気にしたことがない私/nこのクリスマスには/n一番大事なプレゼントをもらった/n私は大切にしまっておく	401241	4
1301	13	1	love_image1	450	あーもう疲れた～。ふぅ～。	エピソード1	3	"[10031,1]"	てるてる坊主を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	まったりとしたお日さまの光/nゆったりとした午後/nふわふわの芝生に寝転んで/n白日の夢を見る～	401311	1
1302	13	2	love_image2	1350	今日は絶好の日焼け日和ね！	エピソード2	3	"[10065,1]"	水着を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	ビーチ、お酒、美人、ビキニ/nもし/nビキニさえもなくなったら……/n考えすぎ～	401321	2
1303	13	3	love_image3	3375	仲間皆での食事会って初めてかなあ？	エピソード3	3	"[10045,1]"	酒を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	いろいろな場所の沢山の橋を渡り/nたくさんの雲を眺め/nたくさんのお酒も飲んだ/nでも愛したのはあなた一人だけ	401331	3
1304	13	4	love_image4	8450	街のお偉いさんの祝賀会かぁ、\nお酒が飲めるなら行ってもいいよ。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	あちこち探し求めて/nやっと放浪の終点を見つけた/n私はあなたがいる場所で/n歩く足を止める	401341	4
1401	14	1	love_image1	150	たまにはお掃除でもしましょう。	エピソード1	3	"[10031,1]"	てるてる坊主を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	山のように積まれた書類の中に/n二人の影が懸命に記入している/n誰かが付き合ってくれるって/nホントにすてき	401411	1
1402	14	2	love_image2	450	あああ…猫だ！ 誰か助けて！	エピソード2	3	"[10063,1]"	キャットフードを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	西日が沈み/n二人の影が長く伸びる/nこれ以上の悩みも/nあなたの優しさの中で灰となって消える	401421	2
1403	14	3	love_image3	1125	今時二人三脚って……。	エピソード3	3	"[10046,1]"	绳を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	死生契闊（しせいけつかつ）/n子（なんじ）と説（ちかい）を成す/n子の手を執りて/n子と偕（とも）に老いん、と	401431	3
1404	14	4	love_image4	2800	あそこに登る…？\nあれは展望台かしら。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	空とビルが交差する果てに/nしっかりとかけた心のカギ/nこの一生の縁を繋ぎ止める/nもう誰も外せない	401441	4
1501	15	1	love_image1	300	最初の任務だ！ 一緒に頑張ろうね！	エピソード1	3	"[10023,1]"	蛤刃を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	頑張ってトレーニングする/nあなたを倒したい/n倒す/n倒せる！	401511	1
1502	15	2	love_image2	900	学園近くの喫茶店のさ、\nデザートが美味しいらしいよ？\n一緒に行かない？	エピソード2	3	"[10047,1]"	ケーキを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	甘い香りのチョコレートアイス/nお口の中でゆっくりとけて/n一番幸せな味に変わる/nすべての悩みや心配事を捨て去る	401521	2
1503	15	3	love_image3	2250	ちょっと一緒にいてくれないかな…？	エピソード3	3	"[10029,1]"	ぬいぐるみを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	私のそばにいてくれてありがとう/n信じてくれてありがとう/n支えてくれてありがとう/n私が転ばないように	401531	3
1504	15	4	love_image4	5600	よし、決めた！	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	未来の日記/n書き入れたのは全部あなた/n期待させてあげる/n一緒に愛の旅行を始めましょう	401541	4
1601	16	1	love_image1	20	最近の流行…？\nつまらない事が流行っていますね…。	エピソード1	3	"[10048,1]"	画板を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	画用紙の上の影/nもう何度も何度も心に描いた/n愛があふれるタッチで/n最も美しい夢の中のあの人を描く	401611	1
1602	16	2	love_image2	200	おやすみなさい、マスター。	エピソード2	3	"[10031,1]"	てるてる坊主を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	あなたはいつもここにいる/nあの時もこの時も/nずっとずっと昔から/n二人は一緒、これからも	401621	2
1603	16	3	love_image3	20	海ですか…？\nマスターがそう言うなら良いですよ。	エピソード3	-1	"[10020,1]"	本を1つあげよう！	4	[]	信頼度	5	"[1,1]"	スキンシップ	一緒にきれいなものを見て/n美味しいものを食べて/n一緒に泣いて一緒に笑って/n絶対に離れたりしない	401631	3
1604	16	4	love_image4	300	今度はどこに行くのでしょう。	エピソード4	3	"[10041,1]"	カメラを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	私はあなたを知りたいと欲する/nこの思いはいつまでも変わらない/nどんなに時が流れようと/n色褪せずにずっと持ってる	401641	4
1701	17	1	love_image1	450	質問があるのですか？\n何でも聞いてください。	エピソード1	3	"[10049,1]"	英語辞書を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	I will perennial with You./nI want to be with you./nI'm with you forever./nWith you forever.	401711	1
1702	17	2	love_image2	1350	新たな料理が出来ました、\n食べてみませんか？	エピソード2	3	"[10050,1]"	下痢止め薬を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	これはあなたのために作った料理/n全部食べられるよね/n美味しい？/n足りないならまた作るわ	401721	2
1703	17	3	love_image3	3375	SNSで話題になっている食材が\nあります。探しに行きませんか？	エピソード3	3	"[10051,1]"	キノコを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	ドキドキが速くなる/n血が上る/n頬が赤くなって/私は病気なの？	401731	3
1704	17	4	love_image4	8450	また質問があるのですか？\n何でも聞いてください。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげようを1つあげよう！！	4	[]	信頼度	5	"[1,3]"	スキンシップ	実験の時よくあなたを思い出す/nいつもあなたに会いたい/n会えばドキドキしてくる/nこれが好きってこと？	401741	4
1801	18	1	love_image1	150	あんな高いところに誰かいる…？	エピソード1	3	"[10031,1]"	てるてる坊主を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	こんな風に思うの/nずっとあなたの手をつないで放さない/n大きな声で叫ぶの/n私の物よって	401811	1
1802	18	2	love_image2	450	すまん！ 俺が悪かった！	エピソード2	3	"[10052,1]"	メイド服を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	もう怒ったりしないなら/nどんなことだってしてみせる/nフリフリのメイド服/nそれだって着られる！	401821	2
1803	18	3	love_image3	1125	ったく、世話焼かせやがって…！	エピソード3	3	"[10046,1]"	绳を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	あなたを傷つける人/nそいつらをすべて消し去る/n私以外/n誰もあなたをいじめられない	401831	3
1804	18	4	love_image4	2800	またかよ！ クソッ！\nほんと世話を焼かせるな…！	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	私はあなたしか見えない/nあなたが楽しければ/n私は何でもできる/nだから私だけを見ていて…。	401841	4
1901	19	1	love_image1	450	よっ、お疲れ様！	エピソード1	3	"[10042,1]"	ドレスを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	忙しい一年がまた過ぎようとしている/nこの一年の最大の収穫は/nおそらくあなたが鳶舞に加入したこと/n未来に希望が持てた	401911	1
1902	19	2	love_image2	1350	昔話でもしようか。	エピソード2	3	"[10054,1]"	アヤメを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	咲きほこるイチハツの花/n風の中優しく揺れている/n二人並んで花畑に寝転んで/nわずかな時間の静寂を楽しむ	401921	2
1903	19	3	love_image3	3375	ちょっと時間ある？\n少し付き合ってくれない？ 奢るわよ。	エピソード3	3	"[10031,1]"	てるてる坊主を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	今日夜が明けると/n私はやっぱりしっかりした社長/nありがとう/n今夜私を普通の人間にしてくれて	401931	3
1904	19	4	love_image4	8450	せっかくの休みの日だ、\nどこかに行かないか？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	洗濯、料理、それから生活必需品/ｎ最も平凡で代わり映えのない/n最もリアルで美しくもある/nこんな風に歳月は過ぎてゆく	401941	4
2001	20	1	love_image1	300	すぴーすぴー むにゃむにゃ	エピソード1	3	"[10055,1]"	枕を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	お日さまの光は残酷/n木の影がまばらになる/n目を開けるとあなたがいる/n道に迷ったことも美しい経験になる	402011	1
2002	20	2	love_image2	900	みんなで遊園地行くの楽しみだね！	エピソード2	3	"[10040,1]"	チケットを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	お化け屋敷？/ｎなんでこんなに恐ろしい場所があるの？/n怖いよぉ/nわあ(??д?)b！	402021	2
2003	20	3	love_image3	2250	保健室はよく眠れるから好き…。	エピソード3	3	"[10014,1]"	チョコレートを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	一生懸命呪文の練習をする/nもう二度と治療中に/n呪文を忘れない/nそうすればあなたは少しでも早く元気になる	402031	3
2004	20	4	love_image4	5600	お祭り、いいね。行こうよ！	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	あなたがいてくれれば/n私は何も怖くない/nずっとあなたのそばに居られるように祈る/nあなたこそ私のすべての世界	402041	4
2101	21	1	love_image1	450	時間ピッタリね。	エピソード1	3	"[10036,1]"	スキー板を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	冷たい風が吹き付け/n真っ白な雪が舞う/n私は雪山の頂上で/nただひとりあなたを待つ	402111	1
2102	21	2	love_image2	1350	お節介な水晶玉だわ。	エピソード2	3	"[10057,1]"	ジャック·ローズをあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	まるで約束したみたい/n私はあなたに名前を告げる/n運命は幸せそうに演奏している/n私たちだけの音楽	402121	2
2103	21	3	love_image3	3375	これはデートってことで良いのかしら？	エピソード3	3	"[10058,1]"	香水を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	私はダンスをくるくる踊る/nあなたはドキドキという名の旋律を/n優しく口ずさむ/n祝福の中で願いの池に希望を投げ込む	402131	3
2104	21	4	love_image4	8450	運命、なのかしら。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	他人の私への見方は気にしない/n憧れの的であろうと小悪魔であろうと/n果てしない水が流れていても/n私はただひとすくいだけ口にする	402141	4
2201	22	1	love_image1	150	お買い物に行くの、\nもちろん来るでしょ？	エピソード1	3	"[10058,1]"	香水を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	天下一品の商品も/nあなたのまぶしさには及ばない/n神々が私に授けた/n最高のプレゼント	402211	1
2202	22	2	love_image2	450	そんな夜にどこに行こうというの\nかしら、いいわ、一緒に行ってあげる。	エピソード2	3	"[10059,1]"	アクアリウムを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	にぎやかな夏祭り/n花火が頭上で咲きほこる/n二人の笑顔が映る/n私が過ごした一番楽しい夏の日	402221	2
2203	22	3	love_image3	1125	あなた、どうしてこんなところに…。	エピソード3	3	"[10024,1]"	ハイヒールを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	つらい時も/n落ち込んでいる時も/nあなただけが私のそばに居てくれた/nあなたみたいな人はもう現れない	402231	3
2204	22	4	love_image4	2800	私を誘うなんて、\nなかなか勇気があるのね。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	あなたと一緒に居たいの/n一生を共にし/n手をつなぎながら/n笑いながら年を取ってゆく	402241	4
2301	23	1	love_image1	150	えいが？ えいがって食べれるにゃ？	エピソード1	3	"[10016,1]"	入場券を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	私はあまーいケーキが食べたいの/n香ばしい焼き魚も/n連れて行ってよ～～/nいいでしょ？	402311	1
2302	23	2	love_image2	450	遊園地大好きにゃ～！	エピソード2	3	"[10040,1]"	チケットを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	ここは真っ暗/nほんとに怖い/n私を守ってくれるよね/nそうでしょ？	402321	2
2303	23	3	love_image3	1125	夏祭り！ 人がいっぱいにゃ！	エピソード3	3	"[10047,1]"	ケーキを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	魚が食べたい/n魚が食べたい～～/n魚が食べたい！！/n魚魚魚>_<	402331	3
2304	23	4	love_image4	2800	今度はどこに行くにゃ？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	美味しいケーキが大好き/nステキなプレゼントも大好き/nにぎやかな遊園地も大好き/nでも私はやっぱりあなたが一番好き	402341	4
2401	24	1	love_image1	300	遊園地…？\nそんなところ行った事も無いわ。	エピソード1	3	"[10040,1]"	チケットを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	あなたは太陽の光/nなのに真夜中に照らしてくれる/n暗闇を追い払う/n私の守り人	402411	1
2402	24	2	love_image2	900	停電、\nいや、今日は日食の日だったわね。	エピソード2	3	"[10060,1]"	アロマを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	私たちは自由の風を抱いている/n長い未知の旅路に足を踏み出す/ｎ未来に困難があても気にしない/n共に歩けさえすれば	402421	2
